id,file,question,tipo_inferencia,num_entities,num_relations,num_reasoning_steps,num_hops,difficulty,requires_ontology,retrieval_scope,source_count,evidence_count,forbidden_terms_found,exact_expected_answer_string_present
1,graphs/question_001_input.ttl,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,selo_e_retencao,9,6,7,4,hard,True,multi_document,2,3,,False
2,graphs/question_002_input.ttl,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,selo_e_retencao,9,6,7,4,hard,True,multi_document,2,2,,False
3,graphs/question_003_input.ttl,Como as evidências conectam pré-sal à geração de óleo e gás?,geracao_de_hidrocarbonetos,9,6,7,4,hard,True,multi_document,2,4,,False
4,graphs/question_004_input.ttl,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",composicional_petrofisica,9,6,7,4,hard,True,multi_document,2,4,,False
5,graphs/question_005_input.ttl,"Que ambiente deposicional é sugerido pela associação entre pré-sal, reservatório e petróleo?",ambiente_deposicional,9,6,7,4,hard,True,multi_document,2,5,,False
6,graphs/question_006_input.ttl,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de Bacia de Santos?",composicional_petrofisica,9,6,7,4,hard,True,multi_document,2,5,,False
7,graphs/question_007_input.ttl,"Que interpretação temporal pode ser obtida ao relacionar Bacia de Santos, pré-sal e reservatório?",temporal_estratigrafica,9,6,7,4,hard,True,multi_document,2,3,,False
8,graphs/question_008_input.ttl,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,processual_migracao,9,6,7,4,hard,True,multi_document,2,4,,False
9,graphs/question_009_input.ttl,"Como as evidências disponíveis permitem reinterpretar a pergunta: Qual interpretação conecta clima árido, evaporação marinha e preservação de acumulações no pré-sal?",interpretativa,4,6,7,3,medium,False,multi_passage,2,3,,False
10,graphs/question_010_input.ttl,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,selo_e_retencao,9,6,7,4,hard,True,multi_document,2,4,,False
11,graphs/question_011_input.ttl,Que interpretação espacial pode ser obtida ao conectar pré-sal com camada de sal?,espacial,8,6,7,4,hard,True,multi_document,2,2,,False
12,graphs/question_012_input.ttl,"Que interpretação temporal pode ser obtida ao relacionar pré-sal, camada de sal e idade relativa?",temporal_estratigrafica,4,6,7,4,hard,False,multi_document,2,3,,False
13,graphs/question_013_input.ttl,Como as evidências conectam pré-sal à geração de óleo e gás?,geracao_de_hidrocarbonetos,8,6,7,4,hard,True,multi_document,2,5,,False
14,graphs/question_014_input.ttl,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de Bacia de Santos?",composicional_petrofisica,7,6,7,4,hard,True,multi_document,2,3,,False
15,graphs/question_015_input.ttl,Que interpretação espacial pode ser obtida ao conectar Formação Barra Velha com Formação Itapema?,espacial_deposicional,9,6,7,4,hard,True,multi_document,2,2,,False
16,graphs/question_016_input.ttl,Que interpretação estrutural surge ao relacionar petróleo com óleo?,estrutural_deposicional,9,6,7,4,hard,True,multi_document,2,3,,False
17,graphs/question_017_input.ttl,Como as evidências diferenciam as funções geológicas de pré-sal e rocha selante?,diferenciacao_funcional,9,6,7,4,hard,True,multi_document,2,6,,False
18,graphs/question_018_input.ttl,Que papel geológico deve ser atribuído a Bacia de Santos quando as evidências são relacionadas?,ontologica_entidade_funcao,9,6,7,4,hard,True,multi_document,2,3,,False
19,graphs/question_019_input.ttl,Como as evidências disponíveis permitem reinterpretar a pergunta: Qual conclusão pode ser obtida ao combinar a presença de evaporitos com fácies carbonáticas lacustres na seção pré-sal?,interpretativa,9,6,7,4,hard,True,multi_document,2,4,,False
20,graphs/question_020_input.ttl,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,processual_migracao,9,6,7,4,hard,True,multi_document,2,3,,False
21,graphs/question_021_input.ttl,Que interpretação estrutural surge ao relacionar rocha selante com trapa?,estrutural_deposicional,9,6,7,4,hard,True,multi_document,2,3,,False
22,graphs/question_022_input.ttl,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",composicional_petrofisica,6,6,7,4,hard,True,multi_document,2,3,,False
23,graphs/question_023_input.ttl,Que interpretação espacial pode ser obtida ao conectar Bacia de Santos com pré-sal?,espacial,9,6,7,4,hard,True,multi_document,2,2,,False
24,graphs/question_024_input.ttl,Como as evidências conectam Bacia de Santos à retenção ou migração de hidrocarbonetos?,selo_e_retencao,9,6,7,4,hard,True,multi_document,2,3,,False
25,graphs/question_025_input.ttl,Que processo ou evento deposicional é registrado pela relação entre pré-sal e reservatório?,processual_deposicional,5,6,7,4,hard,True,multi_document,2,3,,False
